STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
1766,"MINE PIT WATER ASSANSOL, WEST BENGAL",WEST BENGAL,30,31,30,8.1,8.3,8.2,787,801,792,0.8,0.8,0.8,0.66,1,0.89,14,14,14,21,170,71
1767,"DURGAPUR TOWN, NEAR IISCO, BURDWAN, WEST BENGAL",WEST BENGAL,27,28,27,7.5,8.1,7.9,233,813,426,0.3,0.8,0.5,0.464,1,0.88,2,2,2,4,4,4
1768,"DURGAPUR TOWN, BURDWAN, WEST BENGAL",WEST BENGAL,27,28,27,6.9,7.8,7.5,711,1260,1077,0.6,0.8,0.7,3,4.164,4,3,3,3,4,4,4
1769,"INSIDE HINDUSTAN LIVER FACTORY, HALDIA, WEST BENGAL",WEST BENGAL,29,33,30,7.3,7.5,7.5,233,3260,2251,0.6,1,0.9,0.04,0.15,0.09,NA,NA,NA,NA,NA,NA
1770,"NEAR IOC REFINERY HALDIA, WEST BENGAL",WEST BENGAL,34,34,34,7.4,7.4,7.4,2130,2130,2130,1.4,1.4,1.4,0,0,0,NA,NA,NA,NA,NA,NA
1771,"KALYANI INDUSTRIAL AREA, NADIA, WEST BENGAL",WEST BENGAL,28,29,28,7,7.2,7.1,689,729,702,0.6,0.7,0.6,0.15,0.4,0.29,NA,NA,NA,NA,NA,NA
1772,"BARSAT MUNICIPALITY NORTH 24-P, WEST BENGAL",WEST BENGAL,27,28,27,6.8,7.4,7.2,832,1077,914,0.9,1.8,1.2,0.37,1,0.68,8,8,8,NA,NA,NA
1773,"TANGRA, CALCUTTA ,WEST BENGAL",WEST BENGAL,27,32,29,7.4,7.8,7.6,1771,1830,1810,0.5,1.5,1.2,0.08,0.34,0.24,NA,NA,NA,11,11,11
1774,"TOPSIA CALCUTTA, WEST BENGAL",WEST BENGAL,28,34,30,7.3,7.7,7.4,1647,1786,1740,0.5,1.7,1.3,0,0,0,23,23,23,30,80,47
1775,"DHAPA CALCUTTA, WEST BENGAL",WEST BENGAL,27,34,29,7.3,7.3,7.3,1779,1850,1826,0.6,1.5,1.2,0.05,1,1,NA,NA,NA,4,4,4
1776,"GARIA CALCUTTA, WEST BENGAL",WEST BENGAL,26,31,28,7.3,7.6,7.5,1090,1136,1121,0.4,1.3,1,0,0,0,NA,NA,NA,8,8,8
1777,"BEHALA CALCUTTA, WEST BENGAL",WEST BENGAL,28,29,28,7.5,7.5,7.5,895,928,906,0.5,1.2,0.9,0,0,0,2,2,2,NA,NA,NA
1778,"DOMJUR HOWRAH, WEST BENGAL",WEST BENGAL,27,29,27,7.5,7.5,7.5,713,714,713,0.3,2.1,1.5,0,0,0,NA,NA,NA,NA,NA,NA
1779,"DANKUNI (NEAR COAL COMPLEX), WEST BENGAL",WEST BENGAL,27,29,28,7.4,7.5,7.5,925,932,927,0.5,1.1,0.7,0,0,0,NA,NA,NA,NA,NA,NA
1813,"RISHRA, WEST BENGAL",WEST BENGAL,27,30,28,7.3,7.4,7.3,723,739,728,0.6,1.6,1,0,0,0,NA,NA,NA,NA,NA,NA
1931,COSSIPORE - NORTH KOLKATA,WEST BENGAL,28,30,29,7.2,7.2,7.2,2180,2400,2327,0.3,0.5,0.4,0.02,0.82,0.42,14,22,18,50,300,133
1932,CENTRAL KOLKATA,WEST BENGAL,27,33,29,7.3,7.6,7.4,897,1228,1007,0.3,1.2,0.9,0.04,1,0.52,NA,NA,NA,NA,NA,NA
1933,"NEAR GALVANISATION UNIT, HOWRAH",WEST BENGAL,27,28,27,7.3,7.4,7.3,1290,1792,1457,0.4,1,0.8,0,0,0,NA,NA,NA,NA,NA,NA
1934,CENTRAL HOWRAH-RESIDENTAIL AREA,WEST BENGAL,27,29,27,7.4,7.7,7.6,287,2380,985,0.5,0.5,0.5,0,0,1,1,220,110,1600,1600,1600
1935,INSIDE KOLKATA LEATHER COMPLEX,WEST BENGAL,28,34,30,7.3,7.3,7.3,1478,1479,1479,0.3,1.2,0.9,0.03,0.9,0.45,NA,NA,NA,NA,NA,NA
1936,RESIDENTIAL AREA - SONARPUR,WEST BENGAL,25,32,27,7.7,7.7,7.7,842,865,857,0.5,0.6,0.5,0,0,0,NA,NA,NA,22,22,22
1937,RAJARHAT - NEW TOWNSHIP,WEST BENGAL,27,34,29,7,7.9,7.3,1472,1973,1806,0.5,0.7,0.6,0.2,1,0.6,NA,NA,NA,2,2,2
1938,BSIRHAT MUNICIPALITY,WEST BENGAL,27,29,28,7.3,7.9,7.5,2120,2250,2207,0.7,2.5,1.3,0.27,1,0.64,2,13,6,3,4,4
1939,BARRAKPORE MUNICIPALITY,WEST BENGAL,28,29,28,7.2,7.4,7.3,368,374,372,0.4,0.8,0.6,0.21,1,0.6,17,17,17,NA,NA,NA
1940,NEAR THE PHOSPHATE COMPANY-RISHRA,WEST BENGAL,27,29,28,7.6,7.9,7.7,192,512,405,0.5,1.2,0.7,0,0,0,NA,NA,NA,NA,NA,NA
1941,"NEAR FLY ASH DUMPING SITE-KUNTIGHAT, BANDEL",WEST BENGAL,27,28,27,7.5,7.7,7.7,396,404,401,0.6,2.2,1.1,0,0,0,NA,NA,NA,NA,NA,NA
1942,NEAR EXIDE INDUSTRIES-HALDIA,WEST BENGAL,31,32,32,6.6,7.8,7.4,1027,1989,1668,0.6,1.1,0.8,0,0,0,NA,NA,NA,NA,NA,NA
1943,"INSIDE TATA METALIKS, KHARAGPUR",WEST BENGAL,31,34,32,6.9,7.8,7.5,545,571,562,1.1,1.3,1.2,0,0,0,NA,NA,NA,NA,NA,NA
1944,KHARAGPUR INDUSTRIAL AREA,WEST BENGAL,30,30,30,6.6,6.7,6.7,105,119,110,1.1,1.3,1.2,1.45,2.56,2,NA,NA,NA,NA,NA,NA
1945,ENGLISH BAZAR- MALDAH,WEST BENGAL,23,28,25,6.6,7.4,7.2,530,620,590,0.3,1,0.7,0.21,1,0.6,NA,NA,NA,NA,NA,NA
2510,GEOKHALI BUNGLOW MIDNAPUR-EAST,WEST BENGAL,29,30,29,7.3,8.4,8,986,986,986,0.3,0.8,0.5,0,0,0,NA,NA,NA,NA,NA,NA
2515,"SDO OFFICE, RANAGHAT",WEST BENGAL,28,30,29,7.4,7.9,7.6,485,533,501,0.1,0.8,0.5,0.3,1,0.65,NA,NA,NA,NA,NA,NA
2516,"SDO OFFICE, KRISHNANAGAR",WEST BENGAL,27,27,27,6.9,7.2,7.1,561,643,588,0.5,0.8,0.7,0.22,1.02,0.62,NA,NA,NA,NA,NA,NA
2526,FULBARI BARRAGE,WEST BENGAL,18,22,19,6.8,7.7,7.1,147,163,158,1.7,1.8,1.7,1.41,2,1.2,1,50,26,70,130,100
2528,GROUND WATER POINT INSIDE BURDWAN UNIVERSITY,WEST BENGAL,28,29,28,7.1,7.4,7.3,741,757,746,0.6,0.9,0.7,0.382,1,0.76,NA,NA,NA,NA,NA,NA
2529,GROUND WATER POINT NEAR BURDWAN STATION,WEST BENGAL,28,30,29,7,7.2,7.1,557,627,604,0.3,0.4,0.4,0.832,1,1,NA,NA,NA,NA,NA,NA
2530,HOT SPRING AT BAKRESHWAR,WEST BENGAL,67,67,67,9,9.3,9.1,582,592,589,0.8,7.8,3.1,0.336,0,0,NA,NA,NA,NA,NA,NA
2533,SURI TOWN NEAR BUS STAND,WEST BENGAL,28,30,29,7.5,8.2,7.9,963,970,965,0.5,1.2,0.7,0.712,1,1,NA,NA,NA,NA,NA,NA
2535,VISVA BHARATI,WEST BENGAL,28,29,28,6.9,7.9,7.6,499,530,509,0.2,0.4,0.3,0.224,0,0,NA,NA,NA,NA,NA,NA
2536,NALHATI RAILWAY STATION OF BIRBHUM,WEST BENGAL,27,29,28,6.8,7.6,7.4,1017,1027,1020,0.3,0.9,0.7,6.68,8,7,NA,NA,NA,NA,NA,NA
2537,BOLPUR NEAR RAILWAY STATION,WEST BENGAL,28,28,28,6.2,7.4,6.6,480,607,565,0.8,0.9,0.9,3.124,4,3,3,3,3,2,2,2
2538,MOREGRAM CROSSING,WEST BENGAL,28,29,28,7,7.7,7.4,283,313,303,0.5,1.5,0.8,0.978,1,1,NA,NA,NA,NA,NA,NA
2540,SATI GHAT AT BANKURA TOWN,WEST BENGAL,27,28,28,7.1,7.8,7.6,1635,2240,1837,0.7,1.3,0.9,0.188,1,0.89,2,2,2,2,23,9
2542,DWARIKA AT BISHNUPUR TOWN,WEST BENGAL,28,31,29,6.4,6.7,6.6,140,891,390,0.4,4.5,1.8,0.088,1.04,0.99,NA,NA,NA,NA,NA,NA
2543,SDO OFFICE AT BISHNUPUR TOWN,WEST BENGAL,28,29,29,5.9,6.6,6.3,119,123,120,0.3,0.9,0.5,3.652,4,3.98,NA,NA,NA,NA,NA,NA
2545,GROUND WATER POINT AT PURULIA RK MISSION,WEST BENGAL,27,29,28,7.2,7.8,7.6,1239,1461,1313,0.5,0.6,0.5,5.664,6,4,8,8,8,13,13,13
2546,ULUBERIA COLLEGE AT HOWRAH,WEST BENGAL,27,31,28,7.5,7.7,7.6,1030,1046,1035,0.3,0.5,0.4,0.02,0.02,0.02,8,8,8,2,11,5
2547,"AMTOLA ON DIAMOND HARBOUR ROAD, 24 PARGANAS (S)",WEST BENGAL,28,32,31,6.9,7.5,7.1,1052,10080,7071,0.3,1.5,1.1,0.01,0.7,0.5,2,7,5,300,300,300
2548,"HIDCO OFFICE, RAJARHAT",WEST BENGAL,28,34,30,7,8,8,1478,1693,1550,0.5,0.6,0.5,0.49,0.88,0.7,0,4,2,4,11,9
1736,"GROUND WATER QUALITY STATION SARDARNAGAR, U.P",Uttar Pradesh,24,24,24,6.9,7,6.9,964,1164,1064,4.7,5.6,5.2,3,4.36,4,60,60,60,140,180,160
1737,"GROUND WATER QUALITY STATION CAPTANGANJ, U.P",Uttar Pradesh,24,25,25,7,7,7,804,844,824,3.6,3.7,3.7,3,3.42,3,20,60,40,60,140,100
1738,"SITE 1, INDUSTRIAL AREA NEAR M/S WOODWARM CHEMICAL LTD., UNNAO, U.P",Uttar Pradesh,28,28,28,7.4,7.4,7.4,835,835,835,0.6,0.6,0.6,3,3.2,3,NA,NA,NA,NA,NA,NA
1739,"SITE 2, INDUSTRIAL AREA NEAR M/S AMIN SONS, UNNAO, U.P",Uttar Pradesh,28,28,28,6.8,6.8,6.8,4810,4810,4810,0.7,0.7,0.7,25,25.2,25,NA,NA,NA,NA,NA,NA
1740,"AT ROADWAYS BUS STATION, UNNAO, U.P",Uttar Pradesh,28,28,28,6.9,6.9,6.9,2545,2545,2545,0.8,0.8,0.8,25,25.4,25,NA,NA,NA,NA,NA,NA
1741,"MAGAWARA INDUSTRIAL AREA NEAR M/S JAMJAM TANNERS, UNNAO, U.P",Uttar Pradesh,28,28,28,7.3,7.3,7.3,1074,1074,1074,0.5,0.5,0.5,25,25.2,25,NA,NA,NA,NA,NA,NA
1742,"CHINHAT INDUSTRIAL AREA IN LUCKNOW NEAR M/S INDIA PESTICIDES LUCKNOW, U.P",Uttar Pradesh,21,29,25,7.1,7.3,7.2,618,634,626,0.1,0.1,0.1,0,0.3,3,NA,NA,NA,NA,NA,NA
1743,"AISHBAGH INDUSTRIAL AREA AT LUCKNOW NEAR M/S EVEREADY INDUSTRIES LTD. LUCKNOW, U.P",Uttar Pradesh,29,29,29,6.8,7,6.9,1206,1406,1306,0.1,0.2,0.2,4,25.3,25,NA,NA,NA,NA,NA,NA
1746,"NAGAR PALIKA TUBE WELL, SULTANPUR, U.P",Uttar Pradesh,20,23,22,7.5,7.8,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1747,"INDIA MARKA HAND PUMP IN SAROWNI BLOCK AT RAIBAREILLY, U.P",Uttar Pradesh,21,22,22,7.8,7.8,7.8,689,871,780,NA,NA,NA,0,0.28,0,NA,NA,NA,NA,NA,NA
1749,"TUBE WELL AT MEERUT CITY, U.P",Uttar Pradesh,24,24,24,3.6,7.5,5.6,604,841,723,NA,NA,NA,0,0.22,0,NA,NA,NA,NA,NA,NA
1750,"TUBE WELL AT BAGPAT CITY, U.P",Uttar Pradesh,23,25,24,7.3,7.8,7.6,500,660,580,NA,NA,NA,1,1.15,1,NA,NA,NA,NA,NA,NA
1751,"TUBE WELL IN INDUSTRIAL AREA AT GAJRAULA, MORADABAD, U.P",Uttar Pradesh,24,24,24,7.2,7.4,7.3,800,890,845,0.7,1,0.9,0,0.4,1,NA,NA,NA,NA,NA,NA
1752,"SAHIBABAD INDUSTRIAL AREA, GHAZIABAD, U.P",Uttar Pradesh,21,23,22,7.1,7.4,7.3,246,250,248,1.8,2.1,2,0,0.5,1,NA,NA,NA,NA,NA,NA
1753,"MEERUT ROAD INDUSTRIAL AREA GHAZIABAD, U.P",Uttar Pradesh,21,23,22,7.2,7.3,7.3,1190,3380,2285,2.8,2.9,2.9,3,3,3,NA,NA,NA,NA,NA,NA
1754,"HAPUR ROAD INDUSTRIAL AREA  GHAZIABAD, U.P",Uttar Pradesh,20,22,21,7.2,7.5,7.4,1700,1730,1715,2.1,2.4,2.3,2,2,2,NA,NA,NA,NA,NA,NA
1755,"PILKHUA INDUSTRIAL AREA GHAZIABAD, U.P",Uttar Pradesh,20,23,22,7.5,7.5,7.5,980,1090,1035,2.5,2.6,2.6,2,2.81,2.48,NA,NA,NA,NA,NA,NA
1757,"MIRZAPUR INDUSTRIAL AREA, U.P",Uttar Pradesh,23,26,25,7.5,7.6,7.5,1210,1320,1265,0.2,0.2,0.2,0,0.35,0.17,NA,NA,NA,2,2,2
1759,"IFFCO, PHOOLPUR, ALLAHABAD, U.P",Uttar Pradesh,24,26,25,6.9,7,7,1292,1298,1295,0.4,0.4,0.4,4,7.12,7,NA,NA,NA,2,2,2
1760,"M/S KANORIA CHEMICAL SONBHADRA, U.P",Uttar Pradesh,23,27,25,6.5,6.8,6.7,1150,1285,1218,0.4,2,1.2,1,2.38,2,NA,NA,NA,4,4,4
1761,"TUBE WELL IN SINGRAULI INDUSTRIAL AREA, U.P",Uttar Pradesh,24,26,25,7.5,7.6,7.5,1216,1236,1226,0.2,0.5,0.4,13,22,18.67,NA,NA,NA,4,4,4
2469,"AT INDUSTRIAL AREA. NAINI, ALLAHABAD",Uttar Pradesh,24,27,26,7.4,7.7,7.5,1195,1198,1197,0.3,0.4,0.4,1,1.98,1.45,NA,NA,NA,2,2,2
2470,"AT INDUSTRIAL AREA, FATEHPUR",Uttar Pradesh,23,26,25,7.2,7.5,7.4,1385,1386,1386,0.4,0.5,0.5,2,3.96,3.05,NA,NA,NA,7,7,7
2471,"GORAKHPUR INDUSTRIAL DEVELOPMENT AUTHORITY AREA (GIDA), GORAKHPUR",Uttar Pradesh,23,24,24,7.7,7.9,7.8,424,476,450,2.1,2.5,2.3,0,0.3,0.01,60,80,70,140,180,160
2472,"VILLAGE DAURALA, MEERUT",Uttar Pradesh,22,26,24,7.4,7.5,7.4,530,1100,863,20,20,20,0,2,1,NA,NA,NA,NA,NA,NA
2473,"KHEKRA, BAGHPAT",Uttar Pradesh,24,26,25,7.3,7.6,7.5,900,1100,1000,NA,NA,NA,0,0.4,0.2,NA,NA,NA,NA,NA,NA
2477,NEAR ARYA KANYA INTER COLLEGE. JALAUN,Uttar Pradesh,21,38,27,7,8.2,7.5,950,1200,1093,394,394,394,0,0,0,NA,NA,NA,NA,NA,NA
2478,"DEVA ROAD, INDUSTRIAL AREA, CHAINHAT, LKO NEAR UPTRON POLICE CHOWKI, LUCKNOW",Uttar Pradesh,21,29,25,7.1,7.1,7.1,569,585,577,0.3,0.3,0.3,0,0.4,0.2,NA,NA,NA,NA,NA,NA
2479,"NEAR M/S KUMAR INTER NATIONAL LAKDI FAZALPUR, DELHI ROAD, MORADABAD",Uttar Pradesh,25,25,25,7.2,7.5,7.4,236,240,238,0.9,1,1,0,8.6,4.96,NA,NA,NA,200,400,300
2480,"NEAR BRAHMAN MAJRA, PILKHANI",Uttar Pradesh,21,22,22,7.5,7.5,7.5,385,388,387,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
1748,"HANDPUMP IN VILLAGE DAMAUDA AT KASHIPUR NEAR M/S INDIA GLYCOLES LTD., U.P",Uttarakhand,20,20,20,7.8,7.8,7.8,380,380,380,2,2,2,0,0,0,NA,NA,NA,NA,NA,NA
1405,"WELL AT UDAIPUR (TUBEWELL), TRIPURA",TRIPURA,26,27,26,7,7.7,7.5,172,188,180,NA,NA,NA,0.78,1,1,NA,NA,NA,NA,NA,NA
1406,"WELL AROUND UDAIPUR (TUBEWELL), TRIPURA",TRIPURA,26,27,26,7.4,7.8,7.6,342,364,356,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
1730,"KUNJBAN, AGARTALA, TRIPURA",TRIPURA,26,27,26,7.6,7.9,7.7,190,196,193,NA,NA,NA,0.62,1,1,NA,NA,NA,NA,NA,NA
1731,"LANKAMURA, TRIPURA",TRIPURA,27,28,27,7.2,7.8,7.5,80,105,93,NA,NA,NA,0.1,0,0,NA,NA,NA,NA,NA,NA
1732,"A.D.NAGAR, AGARTALA, TRIPURA",TRIPURA,26,27,27,7.5,7.8,7.7,110,120,115,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
1733,"SHIBNAGAR, AGARTALA, TRIPURA",TRIPURA,27,28,27,7.4,7.8,7.6,132,142,137,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
1734,"GANDHIGRAM, AGARTALA, TRIPURA",TRIPURA,27,28,27,7.4,7.6,7.5,186,210,198,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
1415,"WELL OF LOOMJI, CHAUDHARY, NEAR NAYAGAON, PALI, (U/S 1 KM. FROM PALI TOWN), RAJASTHAN",Rajasthan,25,25,25,7.7,8.9,8.3,4800,6800,5800,1.4,9.7,5.6,3.1,3.9,2,4,4,4,4,7,6
1416,"WELL OF BHOPAL SINGH, 24 KM. FROM PALI TOWN, RAJASTHAN",Rajasthan,26,26,26,8.4,9.1,8.7,7700,15400,11550,1.6,13,7.5,4,6,4,4,4,4,4,7,6
1706,"RIICO PUMP HOUSE NEAR MONTO MOTORS, MIA, ALWAR, RAJASTHAN",Rajasthan,27,29,28,8,8.4,8.2,910,1140,1025,0.6,2.5,1.6,0.98,1.02,1,4,4,4,7,7,7
1708,"WELL KOTHI IN VILLAGE BAGAR RAJPUT, ALWAR, RAJASTHAN",Rajasthan,26,29,28,7.7,8,7.9,1300,2300,1800,1,3.7,2.4,0.74,1,1,4,4,4,4,9,7
1709,"WELL AT VILLAGE SANTHLA VERY NEAR BHIWADI INDUSTRIAL AREA, BHIWADI, RAJASTHAN",Rajasthan,27,28,28,7.4,8.1,7.7,3000,3200,3100,1.1,3.3,2.2,1.02,1,1,4,4,4,7,9,8
1710,"WELL AT VILLAGE ALUPUR, VERY NEAR BHIWADI INDUSTRIAL AREA, BHIWADI, RAJASTHAN",Rajasthan,26,27,27,7.6,8.2,7.9,1640,2600,2120,0.7,1.6,1.1,3.16,3,2,NA,NA,NA,4,4,4
1711,"WELL AT VILLAGE HARCHANDPUR, VERY NEAR, BHIWADI TO BHIWADI INDUSTRIAL AREA, BHIWADI, RAJASTHAN",Rajasthan,24,27,26,7.4,8.1,7.7,3500,3900,3700,0.6,3.1,1.9,5.44,6,4,4,4,4,4,9,7
1712,"WELL AT VILLAGE BHIWADI , VERY NEAR, BHIWADI TO BHIWADI INDUSTRIAL AREA, BHIWADI, RAJASTHAN",Rajasthan,26,28,27,7.8,7.8,7.8,1850,2400,2125,0.9,1.9,1.4,1.02,1,0,4,4,4,4,7,6
1713,"WELL AT VILLAGE GATTAL, NEAR, BHIWADI TO BHIWADI INDUSTRIAL AREA, BHIWADI, RAJASTHAN",Rajasthan,27,28,28,7.8,7.9,7.8,1390,1470,1430,0.7,1.3,1,0.92,1,1,4,4,4,4,7,6
1715,"HAND PUMP NEAR SECONDARY SCHOOL ABOUT 300MT. FROM KANSUA NALLAH KOTA, RAJASTHAN",Rajasthan,29,30,30,7.6,8.2,7.9,1330,1360,1345,0.7,2.4,1.5,1.54,2,2,4,4,4,9,9,9
1720,"CHAUDHARY KA WELL VILLAGE PANIALA, KOTAPUTALI NEAR ASSOCIATED ALCOHOL BREVERIES LTD JAIPUR, RAJASTH",Rajasthan,22,27,25,7.9,8.3,8.1,1220,1370,1295,0.5,2.9,1.7,0.92,1,0,7,7,7,4,21,13
1721,"PHED WELL NEAR RAILWAY LINE JHOTAWARA, JAIPUR, RAJASTHAN",Rajasthan,28,28,28,8,8.2,8.1,410,560,485,0.6,2,1.3,2.8,3,2,4,4,4,4,9,7
1723,"HAND PUMP OF VIDHANI VILLAGE GONER ROAD JAIPUR, RAJASTHAN",Rajasthan,25,27,26,8,8,8,3200,3400,3300,0.9,8,4.4,1.14,2,1,NA,NA,NA,4,4,4
1724,"WELL OF GOOJARON KI TALAI, MOHANA ROAD SANGANER JAIPUR, RAJASTHAN",Rajasthan,26,26,26,8.2,8.3,8.2,1310,1420,1365,0.8,2.3,1.5,0.48,1,0,4,4,4,4,9,7
1725,"PUBLIC HAND PUMP BEFORE SANGANER PULIA, RAJASTHAN",Rajasthan,26,26,26,6.9,7.5,7.2,890,1640,1265,1.1,1.4,1.3,0.22,1,0,4,4,4,4,7,6
2015,"PABUPURA ROAD NEAR CIVIL AIR PORT, JODHPUR (MANGILAL RATHOR)",Rajasthan,24,24,24,7.8,8.3,8.1,3400,3700,3550,1,1.5,1.3,11.8,12,4,4,4,4,4,7,6
2016,"VILLAGE VINAYAKIA, JODHPUR (HIRALAL KUMHAR)",Rajasthan,22,24,23,7.3,7.6,7.5,2400,2500,2450,1.4,2.6,2,9.2,9,2,NA,NA,NA,4,9,7
2017,"VILLAGE VINAYAKIA, JODHPUR (BADRI KUMHAR)",Rajasthan,23,23,23,7.8,7.8,7.8,2300,2400,2350,1,1.5,1.2,10,10,4,4,4,4,4,7,6
2018,"VILLAGE VINAYAKIA, JODHPUR (HUKUM SINGH RATHORE)",Rajasthan,24,26,25,7.4,7.9,7.6,3900,4000,3950,1.3,1.8,1.5,6.7,7,2,4,4,4,9,9,9
2019,"NEAR UIT BRIDGE, UDAIPUR",Rajasthan,24,24,24,7.2,7.2,7.2,700,810,755,1,1.1,1.1,0.72,1,1,NA,NA,NA,4,4,4
2020,"NEW FATEHPURA, 200 FT.FROM PANCHWATI NALLAH, UDAIPUR",Rajasthan,24,24,24,7.1,8.8,8,1950,2200,2075,1,1,1,1.24,1,1,NA,NA,NA,4,4,4
2021,"NEAR ARVIND GENERAL STORE, ALOO FACTORY, KACCHI BASTI, SARDARPURA, UDAIPUR",Rajasthan,24,24,24,7,7.1,7,1650,2000,1825,1.1,1.2,1.2,1.02,1,1,NA,NA,NA,4,4,4
2022,"NEAR RANA PRATAP NAGAR, RAILWAY STATION, UDAIPUR",Rajasthan,23,24,24,7,7,7,1800,1910,1855,1.1,1.4,1.3,1.4,1,1,NA,NA,NA,4,4,4
2023,"HOTEL ORIENT PLACE, SUBHAS NAGAR, UDAIPUR",Rajasthan,24,24,24,6.9,7,6.9,1880,2100,1990,0.8,1.1,1,2.8,3,2,4,4,4,4,9,7
2024,"IN SIDE SHIV TEMPLE NEAR AIR FORCE STATION AMER ROAD, JAIPUR",Rajasthan,25,28,27,7.2,7.6,7.4,1270,1730,1500,0.5,2.2,1.3,0.48,1,0,NA,NA,NA,4,4,4
2025,"NEAR SHREE KALYANESHWAR MAHADEV TEMPLE, JAI SINGH PURA KHURD, JAIPUR.",Rajasthan,25,27,26,7.2,7.6,7.4,2200,2300,2250,0.7,3,1.9,0.62,2,1,4,4,4,7,9,8
2026,"NEAR FOJI NAGAR, KACCHI BASTI, AMBABARI, JAIPUR.",Rajasthan,25,27,26,7.1,7.6,7.4,1010,1020,1015,0.6,1.7,1.1,0.22,1,0,4,4,4,4,14,9
2027,"NEAR ABN CENTRAL ACADEMY, SUSILPURA, SODALA, JAIPUR.",Rajasthan,26,26,26,7.8,8.2,8,1200,1220,1210,0.8,1.6,1.2,0.48,1,0,NA,NA,NA,4,4,4
2028,"NEAR SAMSHAN VISHWAKARMA NAGAR, MAHARANIFARM, JAIPUR",Rajasthan,26,26,26,7.4,7.6,7.5,1270,1350,1310,0.6,2.5,1.5,0.62,1,1,4,4,4,4,7,6
2029,"NEAR GANDHI BHWAN, AJMER",Rajasthan,17,23,20,8.2,8.2,8.2,870,880,875,0.6,1.3,1,0.58,1,1,NA,NA,NA,4,7,6
2030,"OPPOSITE PRIVATE BUS STAND, AJMER",Rajasthan,17,21,19,7.6,8,7.8,4000,4100,4050,0.9,1.5,1.2,9.2,9,2,4,4,4,4,4,4
2031,"NEAR 9 NO. PETROL PUMP, NEAR ADARSH NAGAR GATE, AJMER",Rajasthan,16,23,20,8.2,8.4,8.3,1210,1400,1305,1.4,2,1.7,1.14,1,1,NA,NA,NA,4,35,20
2032,"NEAR KHANPURA TALAB, AJMER",Rajasthan,16,21,19,8,8.1,8.1,4600,5000,4800,1,2.4,1.7,10,10,2,NA,NA,NA,4,4,4
2033,"OUTSIDE JLN HOSPITAL, AJMER",Rajasthan,17,22,20,7.8,8.3,8,2000,2100,2050,1.4,2.5,1.9,1.96,2,2,NA,NA,NA,4,4,4
2957,"WELL/ HAND PUMPS IN THE RIICO INDUSTRIAL AREA, BANSWARA, RAJASTHAN",Rajasthan,29,36,33,7.5,8.1,7.8,750,920,835,0.9,1.1,1,0.74,1,1,NA,NA,NA,4,4,4
2958,"WELL OF SH. BHURA RAM, KHETRI NGAR, JHUNJHUNU, RAJASTHAN",Rajasthan,26,30,28,7.7,8,7.9,4100,4200,4150,1.5,9.3,5.4,1.1,2,1,NA,NA,NA,4,4,4
2959,"WELL OF SH. BRIJA RAM, KHETRI NAGAR, JHUNJHUNU, RAJASTHAN",Rajasthan,26,31,29,7.7,7.9,7.8,4200,4200,4200,1,3.3,2.2,1.34,2,1,4,4,4,9,9,9
2960,"WELL INFRONT OF SINGHANA POLICE STATION, SINGHANA, JHUNJHUNU, RAJASTHAN",Rajasthan,27,31,29,7.6,7.6,7.6,3100,3800,3450,0.7,2.8,1.8,1.76,2,1,4,4,4,9,14,12
2961,"WELL OF SH MNAGAL CHAND MEENA, MANPUR MACHERI, JAIPUR, RAJASTHAN",Rajasthan,23,26,25,7.9,8.5,8.2,600,720,660,0.9,1,1,0.3,1,0,4,4,4,4,4,4
2962,"WELL OF SH MOOL CHAND RAIGER, MANPUR MACHERI, JAIPUR, RAJASTHAN",Rajasthan,23,26,25,7.7,8.4,8,69,690,379,1,1.5,1.2,0.58,1,0,NA,NA,NA,4,4,4
